,Time,Price,RSI,MovingAverage10,EMA10,MovingAverage21,EMA21,MovingAverage50,EMA50,LowerBB,MidBB,UpperBB,MACD1,MACD2,MACD3,Momentum12,RoC12,Momentum14,RoC14,Momentum21,RoC21,signals_30d
65,"""2010-09-21""",0.06265,54.73665931581149,0.06164222618351841,0.06186253863266837,0.06171961158887869,0.06215350808493837,0.06348904464056107,0.06320855458785433,0.05983558450545837,0.06170435078901228,0.06357311707256619,-0.00046355192982421023,-0.0006903423714895558,0.00022679044166534562,1.0251170736589204,0.025117073658920387,1.0230389003808376,0.023038900380837526,1.0441666666666667,0.04416666666666666,1.0
66,"""2010-09-22""",0.061881870251315,52.85908815536967,0.061680413208649906,0.0618660534724223,0.06171280409674098,0.06212881373642716,0.06352643902980713,0.0631565277511273,0.05993452848479303,0.06162844430157803,0.06332236011836302,-0.0004282133076158254,-0.0006379165587148098,0.00020970325109898437,1.0142652721288867,0.014265272128886662,1.0144568893658197,0.014456889365819727,0.9976951594957164,-0.0023048405042836255,1.0
67,"""2010-09-23""",0.062153512565751,53.33316776399491,0.06167776446522501,0.061918318762118424,0.06165344755225294,0.0621310590845475,0.06362919367621274,0.06311719382228902,0.06002570726181784,0.061693619929865585,0.06336153259791333,-0.0003739769567839904,-0.0005851286383286459,0.00021115168154465548,0.9769359874990006,-0.023064012500999487,1.0169932469118212,0.016993246911821344,0.9803393149172083,-0.019660685082791726,1.0
68,"""2010-09-24""",0.0622,53.82837334167914,0.06169876446522501,0.06196953353264234,0.061717733266538656,0.06213732644049773,0.06365319367621274,0.06308122543710121,0.06002543677374173,0.06169470613676213,0.06336397549978254,-0.00032351384434848446,-0.0005328056795326137,0.00020929183518412922,1.0113821138211383,0.011382113821138198,1.019479528821709,0.01947952882170899,1.0221857025472474,0.02218570254724728,1.0
69,"""2010-09-25""",0.06202,43.88637516159674,0.061860764465225,0.061978709253980094,0.061710196320725844,0.06212666040045248,0.06366016737580363,0.06303960875329331,0.06003783290646331,0.061713206136762136,0.06338857936706095,-0.00029464942469845795,-0.0004851744285657826,0.00019052500386732463,0.9974268253457703,-0.0025731746542296628,0.974837421788374,-0.025162578211626048,0.9974544829383802,-0.002545517061619795,1.0
70,"""2010-09-26""",0.062,52.274436030257036,0.06187076446522501,0.06198258029871098,0.06172686298739251,0.062115145818593155,0.06372008847457628,0.06299883978257592,0.06005397739591588,0.06173320613676213,0.06341243487760838,-0.00027027246429232876,-0.0004421940357110919,0.00017192157141876312,1.0001613163413454,0.00016131634134531573,1.008130081300813,0.008130081300813016,1.0056772100567721,0.005677210056772038,1.0
71,"""2010-09-27""",0.0622004418468732,50.09722936344579,0.0620907560490941,0.06202219148928593,0.06175545545629123,0.06212290000298225,0.06374609731151373,0.06296753005960719,0.06010656433655761,0.06178127232612507,0.06345598031569252,-0.0002321040150578546,-0.00040017603158044445,0.00016807201652258984,1.029808639848894,0.02980863984889398,1.0003287527641236,0.0003287527641235052,1.0097474325791103,0.009747432579110336,1.0
72,"""2010-09-28""",0.0619038977206312,49.59457324059542,0.062181145821157226,0.0620006835313487,0.06178711163062536,0.06210299070458669,0.06357617526592636,0.06292581898749049,0.0601922365691312,0.061826467212156636,0.06346069785518207,-0.00022321084108366945,-0.00036478299348108946,0.00014157215239742,1.0000629680231212,6.296802312121567e-05,0.9986110295310727,-0.0013889704689273026,1.0108554741165583,0.01085547411655834,1.0
73,"""2010-09-29""",0.06191,58.356554520129286,0.062102145821157216,0.06198419561655803,0.061830444963958696,0.06208544609507881,0.06342760068965518,0.06288598294876538,0.060266546437060434,0.061866218673290466,0.0634658909095205,-0.00021321274983135408,-0.0003344689447511424,0.00012125619491978835,1.0318242875330343,0.03182428753303435,1.025,0.024999999999999956,1.0149180327868852,0.014918032786885265,1.0
74,"""2010-09-30""",0.0619,50.0,0.06208197223845704,0.06196888732263839,0.06186782730789568,0.062068587359162555,0.06332560068965518,0.06284731695077458,0.06036238791377955,0.06191064246054938,0.0634588970073192,-0.00020374743332505357,-0.00030832464246592466,0.00010457720914087108,1.0147540983606558,0.014754098360655705,1.0,0.0,1.01284512146029,0.012845121460290045,1.0
75,"""2010-10-01""",0.0619733138515488,67.24867787594322,0.06201430362361192,0.06196969214607664,0.06191362681250173,0.06205992613119767,0.06316506696668615,0.0628130423194324,0.060504034598149084,0.06182826490356517,0.06315249520898125,-0.0001881612805732097,-0.0002842919700873817,9.613068951417199e-05,0.9884101092751004,-0.01158989072489963,1.032879509141261,0.032879509141261,1.0157640643874093,0.01576406438740936,1.0
76,"""2010-10-02""",0.0614,53.77892973907277,0.06196611659848043,0.06186611175588089,0.06180787133672873,0.061999932846543336,0.06310306696668615,0.06275762889514093,0.0604930740969767,0.06182326490356517,0.06315345571015364,-0.00021954005753706957,-0.0002713415875773193,5.180153004024973e-05,0.9887002220202566,-0.011299777979743379,1.0065573770491805,0.0065573770491804025,0.965092191193263,-0.0349078088067371,1.0
77,"""2010-10-03""",0.0610648684979544,29.18427531150924,0.06185725219170076,0.06172043116353061,0.06178715078901228,0.061914926996671615,0.06298443566335477,0.06269124613446696,0.060407135679838006,0.06176750832846288,0.06312788097708776,-0.0002683568253210866,-0.0002707446351260728,2.3878098049861596e-06,0.9746986192809961,-0.02530138071900393,0.973921347654775,-0.02607865234522495,0.9929246910236488,-0.007075308976351185,1.0
